InvoiceNo,JournalNo,OrderID,InvoiceDate,Store,Salesperson,Payment,SKU,Category,Product,Brand,Qty,UnitPrice,Discount,NetRevenue,VATRate,VATOutput,InvoiceTotal,UnitCost,TotalCost,GrossProfit,MarginPct,AR_Debit,Revenue_Credit,VATOutput_Credit,COGS_Debit,Inventory_Credit,AR_Account,Revenue_Account,VAT_Account,COGS_Account,Inventory_Account
INV20260600011,JV20260600011,SO20260600011,2026-06-03,DN-HC,NV021,Tiền mặt,TV-7BABFF,TV,"Sony 65""",Aqua,3,34744908,0.08,95895946,0.08,7671675,103567621,30016000,90048000,5847946,0.061,103567621,95895946,7671675,90048000,90048000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600012,JV20260600012,SO20260600012,2026-06-07,HCM-TB,NV016,Ví điện tử,AC-EA5153,Máy lạnh,Casper 1HP,Sunhouse,2,13696643,0.18,22462494,0.08,1796999,24259493,10406000,20812000,1650494,0.0735,24259493,22462494,1796999,20812000,20812000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600013,JV20260600013,SO20260600013,2026-06-11,HCM-Q1,NV010,Chuyển khoản,BL-271795,Máy xay,Panasonic Blender,Sony,1,1597568,0.03,1549640,0.08,123971,1673611,1134000,1134000,415640,0.2682,1673611,1549640,123971,1134000,1134000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600014,JV20260600014,SO20260600014,2026-06-27,HCM-Q7,NV005,Chuyển khoản,RF-A4EB7F,Tủ lạnh,Aqua 250L,Asia,1,22242622,0.12,19573507,0.08,1565880,21139387,17846000,17846000,1727507,0.0883,21139387,19573507,1565880,17846000,17846000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600015,JV20260600015,SO20260600015,2026-06-16,BD-TDM,NV022,Tiền mặt,TV-751610,TV,"TCL 50""",Daikin,2,11437167,0.14,19671927,0.08,1573754,21245681,9498000,18996000,675927,0.0344,21245681,19671927,1573754,18996000,18996000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600016,JV20260600016,SO20260600016,2026-06-01,HN-CG,NV009,Thẻ,RC-F33CDE,Nồi cơm,Panasonic 1.8L,Senko,3,2634707,0.16,6639461,0.08,531156,7170617,1681000,5043000,1596461,0.2405,7170617,6639461,531156,5043000,5043000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600017,JV20260600017,SO20260600017,2026-06-14,HN-HBT,NV001,Ví điện tử,RF-309876,Tủ lạnh,Aqua 250L,LG,3,19980633,0.07,55745966,0.08,4459677,60205643,14935000,44805000,10940966,0.1963,60205643,55745966,4459677,44805000,44805000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600018,JV20260600018,SO20260600018,2026-06-26,HN-CG,NV008,Ví điện tử,WM-255403,Máy giặt,LG 9kg,Daikin,3,17507768,0.01,51998070,0.08,4159845,56157915,14432000,43296000,8702070,0.1674,56157915,51998070,4159845,43296000,43296000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600019,JV20260600019,SO20260600019,2026-06-17,DN-HC,NV014,Trả góp,VC-110A19,Máy hút bụi,Philips FC,Philips,3,11657576,0.17,29027364,0.08,2322189,31349553,7961000,23883000,5144364,0.1772,31349553,29027364,2322189,23883000,23883000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600020,JV20260600020,SO20260600020,2026-06-26,HN-CG,NV007,Thẻ,AC-F6180D,Máy lạnh,Panasonic 1.5HP,Electrolux,2,9357231,0.17,15533003,0.08,1242640,16775643,7443000,14886000,647003,0.0417,16775643,15533003,1242640,14886000,14886000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600021,JV20260600021,SO20260600021,2026-06-26,CT-NK,NV011,Ví điện tử,BL-7EF713,Máy xay,Sunhouse Blender,Sharp,3,2283012,0.1,6164132,0.08,493130,6657262,1515000,4545000,1619132,0.2627,6657262,6164132,493130,4545000,4545000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600022,JV20260600022,SO20260600022,2026-06-02,HCM-Q1,NV005,Tiền mặt,TV-7D99ED,TV,"Sony 65""",Philips,1,20618107,0.16,17319209,0.08,1385536,18704745,16973000,16973000,346209,0.02,18704745,17319209,1385536,16973000,16973000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600023,JV20260600023,SO20260600023,2026-06-15,HCM-Q7,NV005,Chuyển khoản,FN-C25C4D,Quạt,Senko,Asia,1,954733,0.05,906996,0.08,72559,979555,538000,538000,368996,0.4068,979555,906996,72559,538000,538000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600024,JV20260600024,SO20260600024,2026-06-15,HCM-Q7,NV021,Chuyển khoản,FN-C79946,Quạt,Senko,Daikin,1,781090,0.09,710791,0.08,56863,767654,519000,519000,191791,0.2698,767654,710791,56863,519000,519000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600025,JV20260600025,SO20260600025,2026-06-15,HN-CG,NV003,Chuyển khoản,MW-9E4FC6,Lò vi sóng,Sharp 20L,Electrolux,3,2001616,0.13,5224217,0.08,417937,5642154,1456000,4368000,856217,0.1639,5642154,5224217,417937,4368000,4368000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600026,JV20260600026,SO20260600026,2026-06-29,DN-HC,NV017,Tiền mặt,RF-847D79,Tủ lạnh,Samsung Inverter 350L,Panasonic,2,16504870,0.07,30699058,0.08,2455924,33154982,13443000,26886000,3813058,0.1242,33154982,30699058,2455924,26886000,26886000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600027,JV20260600027,SO20260600027,2026-06-29,HCM-Q1,NV018,Tiền mặt,RC-007FFA,Nồi cơm,Sharp 1.8L,Cuckoo,2,3388681,0.13,5896304,0.08,471704,6368008,2477000,4954000,942304,0.1598,6368008,5896304,471704,4954000,4954000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600028,JV20260600028,SO20260600028,2026-06-07,HN-CG,NV004,Tiền mặt,RF-C82751,Tủ lạnh,Samsung Inverter 350L,Sharp,2,15100175,0.2,24160280,0.08,1932822,26093102,11497000,22994000,1166280,0.0483,26093102,24160280,1932822,22994000,22994000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600029,JV20260600029,SO20260600029,2026-06-25,BD-TDM,NV024,Thẻ,TV-3C8911,TV,LG OLED 48,Sharp,3,27200680,0.1,73441836,0.08,5875346,79317182,23008000,69024000,4417836,0.0602,79317182,73441836,5875346,69024000,69024000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600030,JV20260600030,SO20260600030,2026-06-14,CT-NK,NV017,Chuyển khoản,MW-75B2CD,Lò vi sóng,Panasonic 25L,Samsung,3,5597133,0.04,16119743,0.08,1289579,17409322,4312000,12936000,3183743,0.1975,17409322,16119743,1289579,12936000,12936000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600031,JV20260600031,SO20260600031,2026-06-26,HCM-Q1,NV028,Ví điện tử,KT-80B935,Ấm siêu tốc,Kangaroo,LG,1,945504,0.17,784768,0.08,62781,847549,492000,492000,292768,0.3731,847549,784768,62781,492000,492000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600032,JV20260600032,SO20260600032,2026-06-24,DN-HC,NV001,Chuyển khoản,VC-D86280,Máy hút bụi,Philips FC,Mitsubishi,3,2071467,0.12,5468672,0.08,437493,5906165,1521000,4563000,905672,0.1656,5906165,5468672,437493,4563000,4563000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600033,JV20260600033,SO20260600033,2026-06-27,BD-TDM,NV013,Tiền mặt,BL-27A8DA,Máy xay,Philips Blender,Sharp,2,946623,0.15,1609259,0.08,128740,1737999,660000,1320000,289259,0.1797,1737999,1609259,128740,1320000,1320000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600034,JV20260600034,SO20260600034,2026-06-19,HN-CG,NV021,Tiền mặt,BL-6730F4,Máy xay,Panasonic Blender,Sharp,1,1928890,0.16,1620267,0.08,129621,1749888,1243000,1243000,377267,0.2328,1749888,1620267,129621,1243000,1243000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600035,JV20260600035,SO20260600035,2026-06-29,BD-TDM,NV027,Thẻ,RF-D9A75C,Tủ lạnh,Samsung Inverter 350L,Sony,2,22970995,0.11,40888371,0.08,3271069,44159440,18483000,36966000,3922371,0.0959,44159440,40888371,3271069,36966000,36966000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600036,JV20260600036,SO20260600036,2026-06-04,DN-HC,NV018,Thẻ,KT-4207FB,Ấm siêu tốc,Sunhouse,Asia,2,761423,0.04,1461932,0.08,116954,1578886,443000,886000,575932,0.394,1578886,1461932,116954,886000,886000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600037,JV20260600037,SO20260600037,2026-06-09,HCM-Q7,NV008,Ví điện tử,VC-F24900,Máy hút bụi,Xiaomi G10,Sunhouse,2,10157681,0.11,18080672,0.08,1446453,19527125,7088000,14176000,3904672,0.216,19527125,18080672,1446453,14176000,14176000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600038,JV20260600038,SO20260600038,2026-06-15,HCM-Q1,NV017,Chuyển khoản,RC-D5DEB5,Nồi cơm,Panasonic 1.8L,Cuckoo,3,3362490,0.06,9482221,0.08,758577,10240798,2280000,6840000,2642221,0.2787,10240798,9482221,758577,6840000,6840000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600039,JV20260600039,SO20260600039,2026-06-06,CT-NK,NV005,Tiền mặt,WM-AF1676,Máy giặt,Toshiba 9kg,Sunhouse,3,7157338,0.0,21472014,0.08,1717761,23189775,5819000,17457000,4015014,0.187,23189775,21472014,1717761,17457000,17457000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600040,JV20260600040,SO20260600040,2026-06-23,DN-HC,NV012,Tiền mặt,KT-F760AD,Ấm siêu tốc,Philips,LG,3,262341,0.1,708320,0.08,56665,764985,187000,561000,147320,0.208,764985,708320,56665,561000,561000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600041,JV20260600041,SO20260600041,2026-06-18,HCM-Q1,NV001,Chuyển khoản,KT-E61198,Ấm siêu tốc,Philips,Daikin,1,285426,0.08,262591,0.08,21007,283598,196000,196000,66591,0.2536,283598,262591,21007,196000,196000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600042,JV20260600042,SO20260600042,2026-06-06,HCM-Q1,NV028,Trả góp,VC-D86280,Máy hút bụi,Philips FC,Mitsubishi,1,7594697,0.15,6455492,0.08,516439,6971931,5242000,5242000,1213492,0.188,6971931,6455492,516439,5242000,5242000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600043,JV20260600043,SO20260600043,2026-06-21,HCM-TB,NV025,Thẻ,AC-CBBDDE,Máy lạnh,Panasonic 1.5HP,Sharp,2,14562401,0.1,26212321,0.08,2096985,28309306,10590000,21180000,5032321,0.192,28309306,26212321,2096985,21180000,21180000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600044,JV20260600044,SO20260600044,2026-06-02,HCM-Q1,NV024,Thẻ,KT-2ABC39,Ấm siêu tốc,Kangaroo,Mitsubishi,3,601657,0.03,1750821,0.08,140065,1890886,343000,1029000,721821,0.4123,1890886,1750821,140065,1029000,1029000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600045,JV20260600045,SO20260600045,2026-06-16,HN-HBT,NV024,Tiền mặt,MW-A83E5A,Lò vi sóng,Electrolux 23L,Sunhouse,1,4455232,0.07,4143365,0.08,331469,4474834,3458000,3458000,685365,0.1654,4474834,4143365,331469,3458000,3458000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600046,JV20260600046,SO20260600046,2026-06-02,DN-HC,NV018,Chuyển khoản,FN-AEDFD9,Quạt,Panasonic,Sony,3,2141043,0.18,5266965,0.08,421357,5688322,1223000,3669000,1597965,0.3034,5688322,5266965,421357,3669000,3669000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600047,JV20260600047,SO20260600047,2026-06-12,HN-HBT,NV016,Ví điện tử,RC-30A967,Nồi cơm,Sharp 1.8L,Mitsubishi,1,3712926,0.08,3415891,0.08,273271,3689162,2429000,2429000,986891,0.2889,3689162,3415891,273271,2429000,2429000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600048,JV20260600048,SO20260600048,2026-06-17,CT-NK,NV009,Thẻ,KT-EFA122,Ấm siêu tốc,Sunhouse,Daikin,1,1001177,0.14,861012,0.08,68880,929892,637000,637000,224012,0.2602,929892,861012,68880,637000,637000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600049,JV20260600049,SO20260600049,2026-06-04,HN-HBT,NV021,Ví điện tử,VC-DD459E,Máy hút bụi,Dyson V8,Asia,3,1861595,0.19,4523675,0.08,361894,4885569,1236000,3708000,815675,0.1803,4885569,4523675,361894,3708000,3708000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600050,JV20260600050,SO20260600050,2026-06-09,HN-CG,NV017,Thẻ,RC-6CF84A,Nồi cơm,Cuckoo 1.8L,Daikin,3,1964457,0.1,5304033,0.08,424322,5728355,1462000,4386000,918033,0.1731,5728355,5304033,424322,4386000,4386000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600051,JV20260600051,SO20260600051,2026-06-11,HN-HBT,NV029,Trả góp,BL-B69FDD,Máy xay,Sunhouse Blender,Mitsubishi,1,2663716,0.18,2184247,0.08,174739,2358986,1595000,1595000,589247,0.2698,2358986,2184247,174739,1595000,1595000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600052,JV20260600052,SO20260600052,2026-06-22,HN-HBT,NV001,Ví điện tử,FN-A2F97E,Quạt,Senko,Xiaomi,3,2489983,0.04,7171151,0.08,573692,7744843,1548000,4644000,2527151,0.3524,7744843,7171151,573692,4644000,4644000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600053,JV20260600053,SO20260600053,2026-06-29,BD-TDM,NV016,Thẻ,MW-640EAD,Lò vi sóng,Sharp 20L,LG,2,5839691,0.12,10277856,0.08,822228,11100084,3942000,7884000,2393856,0.2329,11100084,10277856,822228,7884000,7884000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600054,JV20260600054,SO20260600054,2026-06-10,HCM-Q7,NV030,Trả góp,RC-C7DE50,Nồi cơm,Cuckoo 1.8L,Cuckoo,1,1116191,0.09,1015733,0.08,81258,1096991,701000,701000,314733,0.3099,1096991,1015733,81258,701000,701000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600055,JV20260600055,SO20260600055,2026-06-06,BD-TDM,NV018,Trả góp,TV-7839D5,TV,"TCL 50""",Xiaomi,3,27251740,0.05,77667459,0.08,6213396,83880855,21023000,63069000,14598459,0.188,83880855,77667459,6213396,63069000,63069000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600056,JV20260600056,SO20260600056,2026-06-10,HN-CG,NV012,Thẻ,TV-92EE57,TV,LG OLED 48,LG,3,32253950,0.09,88053283,0.08,7044262,95097545,28172000,84516000,3537283,0.0402,95097545,88053283,7044262,84516000,84516000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600057,JV20260600057,SO20260600057,2026-06-18,CT-NK,NV024,Trả góp,TV-EB02E5,TV,"Sony 65""",Mitsubishi,1,27414657,0.19,22205872,0.08,1776469,23982341,21249000,21249000,956872,0.0431,23982341,22205872,1776469,21249000,21249000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600058,JV20260600058,SO20260600058,2026-06-18,HN-HBT,NV002,Ví điện tử,MW-E17A69,Lò vi sóng,Electrolux 23L,Xiaomi,2,5587490,0.16,9386983,0.08,750958,10137941,4106000,8212000,1174983,0.1252,10137941,9386983,750958,8212000,8212000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600059,JV20260600059,SO20260600059,2026-06-13,HCM-Q7,NV010,Ví điện tử,RC-E6B79E,Nồi cơm,Cuckoo 1.8L,Samsung,1,3406434,0.12,2997661,0.08,239812,3237473,2370000,2370000,627661,0.2094,3237473,2997661,239812,2370000,2370000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600060,JV20260600060,SO20260600060,2026-06-06,HN-CG,NV007,Tiền mặt,MW-640EAD,Lò vi sóng,Sharp 20L,LG,2,3744083,0.04,7188639,0.08,575091,7763730,2450000,4900000,2288639,0.3184,7763730,7188639,575091,4900000,4900000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600061,JV20260600061,SO20260600061,2026-06-13,BD-TDM,NV005,Thẻ,TV-3C8911,TV,LG OLED 48,Sharp,1,25911264,0.2,20729011,0.08,1658320,22387331,20156000,20156000,573011,0.0276,22387331,20729011,1658320,20156000,20156000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600062,JV20260600062,SO20260600062,2026-06-12,BD-TDM,NV009,Ví điện tử,RC-56CDC9,Nồi cơm,Sharp 1.8L,Sharp,3,602430,0.16,1518123,0.08,121449,1639572,359000,1077000,441123,0.2906,1639572,1518123,121449,1077000,1077000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600063,JV20260600063,SO20260600063,2026-06-22,CT-NK,NV013,Chuyển khoản,TV-3277C5,TV,"TCL 50""",Cuckoo,1,9661139,0.13,8405190,0.08,672415,9077605,8484000,8484000,-78810,-0.0094,9077605,8405190,672415,8484000,8484000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600064,JV20260600064,SO20260600064,2026-06-20,HN-HBT,NV012,Thẻ,BL-7EF713,Máy xay,Sunhouse Blender,Sharp,1,2543753,0.19,2060439,0.08,164835,2225274,1421000,1421000,639439,0.3103,2225274,2060439,164835,1421000,1421000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600065,JV20260600065,SO20260600065,2026-06-19,BD-TDM,NV009,Thẻ,VC-A4DECF,Máy hút bụi,Dyson V8,Mitsubishi,3,10785826,0.06,30416029,0.08,2433282,32849311,7420000,22260000,8156029,0.2681,32849311,30416029,2433282,22260000,22260000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600066,JV20260600066,SO20260600066,2026-06-30,CT-NK,NV004,Chuyển khoản,MW-AE2881,Lò vi sóng,Panasonic 25L,Panasonic,2,3483689,0.07,6479661,0.08,518372,6998033,2469000,4938000,1541661,0.2379,6998033,6479661,518372,4938000,4938000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
