ShipmentID,PickNo,OrderID,OrderDate,ShippedAt,DeliveredAt,Store,Warehouse,SKU,Category,Product,Brand,Qty,UnitCost,TotalCost,Carrier,DeliveryFee,DeliveryStatus
SHIP20260600026,PICK20260600026,SO20260600026,2026-06-29 18:01,2026-06-30 07:41,2026-07-01 03:51,DN-HC,WH-DN-01,RF-847D79,Tủ lạnh,Samsung Inverter 350L,Panasonic,2,13443000,26886000,Xe tải thuê ngoài,205000,Hoàn tất
SHIP20260600027,PICK20260600027,SO20260600027,2026-06-29 19:22,2026-06-30 08:38,2026-07-01 19:33,HCM-Q1,WH-HCM-01,RC-007FFA,Nồi cơm,Sharp 1.8L,Cuckoo,2,2477000,4954000,Xe tải thuê ngoài,0,Đã giao
SHIP20260600028,PICK20260600028,SO20260600028,2026-06-07 08:57,2026-06-08 03:11,2026-06-09 00:08,HN-CG,WH-HN-01,RF-C82751,Tủ lạnh,Samsung Inverter 350L,Sharp,2,11497000,22994000,Ahamove,215000,Giao lại
SHIP20260600029,PICK20260600029,SO20260600029,2026-06-25 13:32,2026-06-26 03:24,2026-06-27 12:16,BD-TDM,WH-BD-01,TV-3C8911,TV,LG OLED 48,Sharp,3,23008000,69024000,Nội bộ,245000,Đã giao
SHIP20260600030,PICK20260600030,SO20260600030,2026-06-14 10:22,2026-06-15 04:04,2026-06-16 06:02,CT-NK,WH-CT-01,MW-75B2CD,Lò vi sóng,Panasonic 25L,Samsung,3,4312000,12936000,Nội bộ,225000,Đã giao
SHIP20260600031,PICK20260600031,SO20260600031,2026-06-26 13:49,2026-06-27 08:15,2026-06-27 21:30,HCM-Q1,WH-HCM-01,KT-80B935,Ấm siêu tốc,Kangaroo,LG,1,492000,492000,Xe tải thuê ngoài,0,Đã giao
SHIP20260600032,PICK20260600032,SO20260600032,2026-06-24 12:57,2026-06-24 20:19,2026-06-25 00:37,DN-HC,WH-DN-01,VC-D86280,Máy hút bụi,Philips FC,Mitsubishi,3,1521000,4563000,GrabExpress,25000,Giao lại
SHIP20260600033,PICK20260600033,SO20260600033,2026-06-27 14:02,2026-06-27 19:24,2026-06-29 00:22,BD-TDM,WH-BD-01,BL-27A8DA,Máy xay,Philips Blender,Sharp,2,660000,1320000,Xe tải thuê ngoài,25000,Hoàn tất
SHIP20260600034,PICK20260600034,SO20260600034,2026-06-19 08:31,2026-06-19 13:18,2026-06-20 20:26,HN-CG,WH-HN-01,BL-6730F4,Máy xay,Panasonic Blender,Sharp,1,1243000,1243000,Xe tải thuê ngoài,0,Hoàn tất
SHIP20260600035,PICK20260600035,SO20260600035,2026-06-29 18:39,2026-06-30 07:23,2026-07-01 01:40,BD-TDM,WH-BD-01,RF-D9A75C,Tủ lạnh,Samsung Inverter 350L,Sony,2,18483000,36966000,Ahamove,215000,Đã giao
SHIP20260600036,PICK20260600036,SO20260600036,2026-06-04 20:17,2026-06-05 08:11,2026-06-06 19:00,DN-HC,WH-DN-01,KT-4207FB,Ấm siêu tốc,Sunhouse,Asia,2,443000,886000,GrabExpress,45000,Đã giao
SHIP20260600037,PICK20260600037,SO20260600037,2026-06-09 13:33,2026-06-10 02:52,2026-06-11 15:25,HCM-Q7,WH-HCM-02,VC-F24900,Máy hút bụi,Xiaomi G10,Sunhouse,2,7088000,14176000,GHN,200000,Hoàn tất
SHIP20260600038,PICK20260600038,SO20260600038,2026-06-15 16:17,2026-06-15 21:23,2026-06-16 16:55,HCM-Q1,WH-HCM-01,RC-D5DEB5,Nồi cơm,Panasonic 1.8L,Cuckoo,3,2280000,6840000,GrabExpress,0,Đã giao
SHIP20260600039,PICK20260600039,SO20260600039,2026-06-06 10:21,2026-06-07 04:46,2026-06-08 06:29,CT-NK,WH-CT-01,WM-AF1676,Máy giặt,Toshiba 9kg,Sunhouse,3,5819000,17457000,GHN,165000,Hoàn tất
SHIP20260600040,PICK20260600040,SO20260600040,2026-06-23 18:18,2026-06-23 21:09,2026-06-25 02:47,DN-HC,WH-DN-01,KT-F760AD,Ấm siêu tốc,Philips,LG,3,187000,561000,Xe tải thuê ngoài,45000,Giao lại
SHIP20260600041,PICK20260600041,SO20260600041,2026-06-18 14:05,2026-06-19 06:40,2026-06-20 10:54,HCM-Q1,WH-HCM-01,KT-E61198,Ấm siêu tốc,Philips,Daikin,1,196000,196000,GHN,120000,Hoàn tất
SHIP20260600042,PICK20260600042,SO20260600042,2026-06-06 09:46,2026-06-06 23:21,2026-06-07 11:12,HCM-Q1,WH-HCM-01,VC-D86280,Máy hút bụi,Philips FC,Mitsubishi,1,5242000,5242000,GrabExpress,45000,Đã giao
SHIP20260600043,PICK20260600043,SO20260600043,2026-06-21 14:20,2026-06-21 23:56,2026-06-22 06:33,HCM-TB,WH-HCM-03,AC-CBBDDE,Máy lạnh,Panasonic 1.5HP,Sharp,2,10590000,21180000,GrabExpress,225000,Hoàn tất
SHIP20260600044,PICK20260600044,SO20260600044,2026-06-02 14:12,2026-06-02 15:20,2026-06-03 05:45,HCM-Q1,WH-HCM-01,KT-2ABC39,Ấm siêu tốc,Kangaroo,Mitsubishi,3,343000,1029000,GrabExpress,90000,Hoàn tất
SHIP20260600045,PICK20260600045,SO20260600045,2026-06-16 18:53,2026-06-17 01:57,2026-06-18 01:02,HN-HBT,WH-HN-02,MW-A83E5A,Lò vi sóng,Electrolux 23L,Sunhouse,1,3458000,3458000,GrabExpress,120000,Đã giao
SHIP20260600046,PICK20260600046,SO20260600046,2026-06-02 15:30,2026-06-03 04:52,2026-06-04 12:18,DN-HC,WH-DN-01,FN-AEDFD9,Quạt,Panasonic,Sony,3,1223000,3669000,Ahamove,25000,Đã giao
SHIP20260600047,PICK20260600047,SO20260600047,2026-06-12 14:08,2026-06-12 21:59,2026-06-13 11:41,HN-HBT,WH-HN-02,RC-30A967,Nồi cơm,Sharp 1.8L,Mitsubishi,1,2429000,2429000,Xe tải thuê ngoài,90000,Đã giao
SHIP20260600048,PICK20260600048,SO20260600048,2026-06-17 09:28,2026-06-18 02:54,2026-06-19 10:57,CT-NK,WH-CT-01,KT-EFA122,Ấm siêu tốc,Sunhouse,Daikin,1,637000,637000,GrabExpress,65000,Đã giao
SHIP20260600049,PICK20260600049,SO20260600049,2026-06-04 09:08,2026-06-04 21:59,2026-06-05 15:19,HN-HBT,WH-HN-02,VC-DD459E,Máy hút bụi,Dyson V8,Asia,3,1236000,3708000,GHN,120000,Giao lại
SHIP20260600050,PICK20260600050,SO20260600050,2026-06-09 20:12,2026-06-10 15:07,2026-06-11 19:25,HN-CG,WH-HN-01,RC-6CF84A,Nồi cơm,Cuckoo 1.8L,Daikin,3,1462000,4386000,Nội bộ,0,Giao lại
SHIP20260600051,PICK20260600051,SO20260600051,2026-06-11 16:45,2026-06-12 01:43,2026-06-12 06:41,HN-HBT,WH-HN-02,BL-B69FDD,Máy xay,Sunhouse Blender,Mitsubishi,1,1595000,1595000,GHN,120000,Giao lại
SHIP20260600052,PICK20260600052,SO20260600052,2026-06-22 12:27,2026-06-22 20:12,2026-06-23 21:32,HN-HBT,WH-HN-02,FN-A2F97E,Quạt,Senko,Xiaomi,3,1548000,4644000,GrabExpress,65000,Giao lại
SHIP20260600053,PICK20260600053,SO20260600053,2026-06-29 15:54,2026-06-30 01:48,2026-07-01 01:59,BD-TDM,WH-BD-01,MW-640EAD,Lò vi sóng,Sharp 20L,LG,2,3942000,7884000,Xe tải thuê ngoài,65000,Hoàn tất
SHIP20260600054,PICK20260600054,SO20260600054,2026-06-10 16:58,2026-06-11 01:34,2026-06-11 19:13,HCM-Q7,WH-HCM-02,RC-C7DE50,Nồi cơm,Cuckoo 1.8L,Cuckoo,1,701000,701000,Xe tải thuê ngoài,65000,Đã giao
SHIP20260600055,PICK20260600055,SO20260600055,2026-06-06 19:43,2026-06-07 08:25,2026-06-07 18:59,BD-TDM,WH-BD-01,TV-7839D5,TV,"TCL 50""",Xiaomi,3,21023000,63069000,Ahamove,145000,Hoàn tất
SHIP20260600056,PICK20260600056,SO20260600056,2026-06-10 18:14,2026-06-11 08:39,2026-06-12 08:55,HN-CG,WH-HN-01,TV-92EE57,TV,LG OLED 48,LG,3,28172000,84516000,Nội bộ,145000,Đã giao
SHIP20260600057,PICK20260600057,SO20260600057,2026-06-18 20:26,2026-06-19 05:47,2026-06-19 08:42,CT-NK,WH-CT-01,TV-EB02E5,TV,"Sony 65""",Mitsubishi,1,21249000,21249000,GHN,240000,Đã giao
SHIP20260600058,PICK20260600058,SO20260600058,2026-06-18 12:07,2026-06-18 21:28,2026-06-19 16:45,HN-HBT,WH-HN-02,MW-E17A69,Lò vi sóng,Electrolux 23L,Xiaomi,2,4106000,8212000,GHN,0,Giao lại
SHIP20260600059,PICK20260600059,SO20260600059,2026-06-13 12:20,2026-06-13 14:24,2026-06-14 09:38,HCM-Q7,WH-HCM-02,RC-E6B79E,Nồi cơm,Cuckoo 1.8L,Samsung,1,2370000,2370000,Xe tải thuê ngoài,65000,Đã giao
SHIP20260600060,PICK20260600060,SO20260600060,2026-06-06 09:44,2026-06-06 18:03,2026-06-07 17:56,HN-CG,WH-HN-01,MW-640EAD,Lò vi sóng,Sharp 20L,LG,2,2450000,4900000,GHN,0,Giao lại
SHIP20260600061,PICK20260600061,SO20260600061,2026-06-13 18:33,2026-06-14 03:14,2026-06-15 15:08,BD-TDM,WH-BD-01,TV-3C8911,TV,LG OLED 48,Sharp,1,20156000,20156000,GHN,145000,Đã giao
SHIP20260600062,PICK20260600062,SO20260600062,2026-06-12 15:35,2026-06-12 18:16,2026-06-13 21:55,BD-TDM,WH-BD-01,RC-56CDC9,Nồi cơm,Sharp 1.8L,Sharp,3,359000,1077000,Xe tải thuê ngoài,45000,Đã giao
SHIP20260600063,PICK20260600063,SO20260600063,2026-06-22 11:33,2026-06-23 01:00,2026-06-23 07:36,CT-NK,WH-CT-01,TV-3277C5,TV,"TCL 50""",Cuckoo,1,8484000,8484000,GHN,45000,Đã giao
SHIP20260600064,PICK20260600064,SO20260600064,2026-06-20 20:09,2026-06-21 02:51,2026-06-21 19:30,HN-HBT,WH-HN-02,BL-7EF713,Máy xay,Sunhouse Blender,Sharp,1,1421000,1421000,Ahamove,0,Giao lại
SHIP20260600065,PICK20260600065,SO20260600065,2026-06-19 12:14,2026-06-20 04:02,2026-06-20 21:47,BD-TDM,WH-BD-01,VC-A4DECF,Máy hút bụi,Dyson V8,Mitsubishi,3,7420000,22260000,GrabExpress,240000,Đã giao
SHIP20260600066,PICK20260600066,SO20260600066,2026-06-30 17:17,2026-06-30 19:34,2026-07-01 15:46,CT-NK,WH-CT-01,MW-AE2881,Lò vi sóng,Panasonic 25L,Panasonic,2,2469000,4938000,Ahamove,35000,Giao lại
SHIP20260600067,PICK20260600067,SO20260600067,2026-06-03 19:00,2026-06-04 10:46,2026-06-04 16:10,HN-CG,WH-HN-01,RC-6CF84A,Nồi cơm,Cuckoo 1.8L,Daikin,3,2431000,7293000,Xe tải thuê ngoài,25000,Giao lại
SHIP20260600068,PICK20260600068,SO20260600068,2026-06-18 14:42,2026-06-18 22:50,2026-06-19 19:45,CT-NK,WH-CT-01,KT-697052,Ấm siêu tốc,Sunhouse,Samsung,1,503000,503000,Ahamove,45000,Đã giao
SHIP20260600069,PICK20260600069,SO20260600069,2026-06-15 19:15,2026-06-15 22:49,2026-06-17 07:15,DN-HC,WH-DN-01,TV-A73348,TV,LG OLED 48,Toshiba,3,16047000,48141000,GHN,180000,Đã giao
SHIP20260600070,PICK20260600070,SO20260600070,2026-06-27 09:42,2026-06-27 18:54,2026-06-28 09:36,HCM-Q7,WH-HCM-02,AC-D7C5BD,Máy lạnh,Daikin 1HP,Daikin,1,8751000,8751000,Ahamove,120000,Giao lại
SHIP20260600071,PICK20260600071,SO20260600071,2026-06-05 13:09,2026-06-05 16:29,2026-06-06 17:34,HCM-TB,WH-HCM-03,MW-FB2461,Lò vi sóng,Electrolux 23L,Senko,2,1602000,3204000,Nội bộ,90000,Đã giao
SHIP20260600072,PICK20260600072,SO20260600072,2026-06-07 16:03,2026-06-08 02:52,2026-06-09 12:51,HCM-Q1,WH-HCM-01,KT-9BE99C,Ấm siêu tốc,Philips,Panasonic,2,751000,1502000,Ahamove,45000,Giao lại
SHIP20260600073,PICK20260600073,SO20260600073,2026-06-07 08:22,2026-06-07 10:16,2026-06-07 19:32,HCM-TB,WH-HCM-03,BL-958487,Máy xay,Philips Blender,Toshiba,3,817000,2451000,Nội bộ,35000,Giao lại
SHIP20260600074,PICK20260600074,SO20260600074,2026-06-03 16:08,2026-06-04 00:16,2026-06-04 13:48,DN-HC,WH-DN-01,RF-F64CD4,Tủ lạnh,Samsung Inverter 350L,Casper,1,9479000,9479000,Nội bộ,45000,Đã giao
SHIP20260600075,PICK20260600075,SO20260600075,2026-06-06 19:00,2026-06-07 01:33,2026-06-08 06:08,HCM-Q7,WH-HCM-02,RF-7A08B1,Tủ lạnh,Samsung Inverter 350L,Xiaomi,1,19664000,19664000,GHN,155000,Đã giao
SHIP20260600076,PICK20260600076,SO20260600076,2026-06-15 15:20,2026-06-16 05:26,2026-06-16 16:09,HCM-Q7,WH-HCM-02,KT-54AD13,Ấm siêu tốc,Philips,Samsung,2,682000,1364000,GHN,90000,Đã giao
SHIP20260600077,PICK20260600077,SO20260600077,2026-06-14 13:11,2026-06-14 20:49,2026-06-15 07:52,BD-TDM,WH-BD-01,VC-51D140,Máy hút bụi,Xiaomi G10,Casper,3,4247000,12741000,Nội bộ,165000,Đã giao
SHIP20260600078,PICK20260600078,SO20260600078,2026-06-21 20:58,2026-06-22 12:25,2026-06-22 19:07,HN-HBT,WH-HN-02,WM-AA0941,Máy giặt,Panasonic 8.5kg,Aqua,3,11082000,33246000,GHN,185000,Đã giao
SHIP20260600079,PICK20260600079,SO20260600079,2026-06-10 08:33,2026-06-10 11:09,2026-06-11 13:05,CT-NK,WH-CT-01,AC-50CBA5,Máy lạnh,Daikin 1HP,Aqua,1,15471000,15471000,GrabExpress,80000,Đã giao
SHIP20260600080,PICK20260600080,SO20260600080,2026-06-18 17:47,2026-06-19 05:46,2026-06-20 16:14,HCM-Q1,WH-HCM-01,MW-2666B6,Lò vi sóng,Panasonic 25L,Mitsubishi,2,3392000,6784000,GrabExpress,65000,Giao lại
SHIP20260600081,PICK20260600081,SO20260600081,2026-06-10 09:49,2026-06-10 18:14,2026-06-11 15:26,CT-NK,WH-CT-01,FN-05A833,Quạt,Asia,Aqua,2,670000,1340000,GHN,0,Đã giao
SHIP20260600082,PICK20260600082,SO20260600082,2026-06-02 12:20,2026-06-03 06:23,2026-06-04 17:15,HN-HBT,WH-HN-02,FN-02E143,Quạt,Senko,Sony,1,993000,993000,Nội bộ,25000,Hoàn tất
SHIP20260600083,PICK20260600083,SO20260600083,2026-06-08 11:31,2026-06-08 14:14,2026-06-09 11:44,HCM-TB,WH-HCM-03,WM-4E5FAA,Máy giặt,Toshiba 9kg,Sharp,1,7046000,7046000,GrabExpress,65000,Hoàn tất
SHIP20260600084,PICK20260600084,SO20260600084,2026-06-15 15:43,2026-06-15 18:29,2026-06-16 02:56,HCM-TB,WH-HCM-03,MW-8EA0CB,Lò vi sóng,Panasonic 25L,LG,2,3387000,6774000,GHN,45000,Đã giao
SHIP20260600085,PICK20260600085,SO20260600085,2026-06-20 09:14,2026-06-20 21:45,2026-06-21 07:41,DN-HC,WH-DN-01,RC-19766E,Nồi cơm,Panasonic 1.8L,Sunhouse,3,308000,924000,Xe tải thuê ngoài,120000,Giao lại
SHIP20260600086,PICK20260600086,SO20260600086,2026-06-15 15:16,2026-06-16 09:03,2026-06-16 14:28,HN-CG,WH-HN-01,KT-37BC3F,Ấm siêu tốc,Sunhouse,Panasonic,1,518000,518000,Ahamove,90000,Đã giao
SHIP20260600087,PICK20260600087,SO20260600087,2026-06-15 17:58,2026-06-16 05:04,2026-06-17 06:39,CT-NK,WH-CT-01,KT-C76795,Ấm siêu tốc,Philips,Aqua,3,301000,903000,Nội bộ,90000,Đã giao
SHIP20260600088,PICK20260600088,SO20260600088,2026-06-04 08:38,2026-06-04 11:47,2026-06-04 14:59,DN-HC,WH-DN-01,RF-AE1055,Tủ lạnh,Panasonic 300L,Mitsubishi,3,14338000,43014000,GrabExpress,270000,Đã giao
SHIP20260600089,PICK20260600089,SO20260600089,2026-06-27 14:57,2026-06-28 02:33,2026-06-29 11:08,DN-HC,WH-DN-01,RC-189134,Nồi cơm,Sunhouse 1.2L,Samsung,3,546000,1638000,Ahamove,35000,Đã giao
SHIP20260600090,PICK20260600090,SO20260600090,2026-06-21 08:55,2026-06-22 03:06,2026-06-23 11:12,HN-HBT,WH-HN-02,AC-9EB347,Máy lạnh,Panasonic 1.5HP,Xiaomi,2,13487000,26974000,GrabExpress,105000,Đã giao
SHIP20260600091,PICK20260600091,SO20260600091,2026-06-08 18:27,2026-06-09 08:15,2026-06-10 05:17,DN-HC,WH-DN-01,RF-794862,Tủ lạnh,Samsung Inverter 350L,Aqua,1,4205000,4205000,Ahamove,45000,Đã giao
SHIP20260600092,PICK20260600092,SO20260600092,2026-06-11 12:10,2026-06-11 17:26,2026-06-13 04:12,HN-CG,WH-HN-01,FN-441B27,Quạt,Senko,Samsung,1,214000,214000,Nội bộ,45000,Đã giao
SHIP20260600093,PICK20260600093,SO20260600093,2026-06-18 16:57,2026-06-19 02:16,2026-06-19 14:04,BD-TDM,WH-BD-01,AC-8D2169,Máy lạnh,Panasonic 1.5HP,Sunhouse,1,17441000,17441000,Ahamove,210000,Đã giao
SHIP20260600094,PICK20260600094,SO20260600094,2026-06-26 11:24,2026-06-26 20:12,2026-06-27 09:12,CT-NK,WH-CT-01,BL-E08C31,Máy xay,Panasonic Blender,Philips,1,659000,659000,Xe tải thuê ngoài,0,Đã giao
SHIP20260600095,PICK20260600095,SO20260600095,2026-06-25 08:01,2026-06-25 10:36,2026-06-26 18:50,HCM-Q1,WH-HCM-01,BL-BE1E34,Máy xay,Panasonic Blender,Senko,1,1986000,1986000,Nội bộ,35000,Hoàn tất
SHIP20260600096,PICK20260600096,SO20260600096,2026-06-07 17:39,2026-06-08 01:52,2026-06-08 22:49,HCM-TB,WH-HCM-03,VC-E19461,Máy hút bụi,Dyson V8,Panasonic,1,2111000,2111000,Xe tải thuê ngoài,90000,Hoàn tất
SHIP20260600097,PICK20260600097,SO20260600097,2026-06-20 18:57,2026-06-21 13:00,2026-06-22 04:45,HCM-TB,WH-HCM-03,FN-FF4EE8,Quạt,Panasonic,Sunhouse,3,1265000,3795000,GHN,90000,Đã giao
SHIP20260600098,PICK20260600098,SO20260600098,2026-06-07 19:38,2026-06-08 10:18,2026-06-09 00:02,HCM-Q7,WH-HCM-02,KT-F760AD,Ấm siêu tốc,Philips,LG,3,702000,2106000,GHN,25000,Hoàn tất
SHIP20260600099,PICK20260600099,SO20260600099,2026-06-12 17:31,2026-06-13 00:35,2026-06-13 08:42,BD-TDM,WH-BD-01,WM-9170CB,Máy giặt,LG 9kg,LG,2,10382000,20764000,Ahamove,300000,Đã giao
SHIP20260600100,PICK20260600100,SO20260600100,2026-06-21 08:53,2026-06-21 21:06,2026-06-22 18:55,HCM-TB,WH-HCM-03,KT-4D110F,Ấm siêu tốc,Kangaroo,Toshiba,2,424000,848000,Xe tải thuê ngoài,25000,Đã giao
SHIP20260600101,PICK20260600101,SO20260600101,2026-06-25 17:05,2026-06-25 22:25,2026-06-26 08:01,BD-TDM,WH-BD-01,WM-5ED0A1,Máy giặt,Samsung 10kg,Cuckoo,1,4370000,4370000,Ahamove,0,Giao lại
SHIP20260600102,PICK20260600102,SO20260600102,2026-06-17 10:10,2026-06-17 21:26,2026-06-18 11:11,CT-NK,WH-CT-01,RF-742B7E,Tủ lạnh,Samsung Inverter 350L,Asia,3,7227000,21681000,GrabExpress,225000,Đã giao
SHIP20260600103,PICK20260600103,SO20260600103,2026-06-06 13:47,2026-06-07 04:38,2026-06-08 06:33,HCM-Q7,WH-HCM-02,MW-FB2461,Lò vi sóng,Electrolux 23L,Senko,2,2564000,5128000,GHN,35000,Đã giao
SHIP20260600104,PICK20260600104,SO20260600104,2026-06-23 14:23,2026-06-23 16:45,2026-06-23 18:58,HCM-Q1,WH-HCM-01,KT-881318,Ấm siêu tốc,Sunhouse,Sony,2,416000,832000,Ahamove,25000,Hoàn tất
SHIP20260600105,PICK20260600105,SO20260600105,2026-06-14 14:09,2026-06-15 01:39,2026-06-15 19:33,BD-TDM,WH-BD-01,MW-42D56C,Lò vi sóng,Electrolux 23L,Sony,1,3512000,3512000,GHN,90000,Đã giao
SHIP20260600106,PICK20260600106,SO20260600106,2026-06-14 10:34,2026-06-14 14:41,2026-06-15 02:23,HN-CG,WH-HN-01,RC-E6B79E,Nồi cơm,Cuckoo 1.8L,Samsung,2,707000,1414000,Ahamove,65000,Đã giao
SHIP20260600107,PICK20260600107,SO20260600107,2026-06-29 13:43,2026-06-29 15:03,2026-06-30 10:44,HCM-Q1,WH-HCM-01,AC-DF5234,Máy lạnh,Daikin 1HP,Asia,1,11267000,11267000,Xe tải thuê ngoài,105000,Đã giao
