InvoiceNo,JournalNo,OrderID,InvoiceDate,Store,Salesperson,Payment,SKU,Category,Product,Brand,Qty,UnitPrice,Discount,NetRevenue,VATRate,VATOutput,InvoiceTotal,UnitCost,TotalCost,GrossProfit,MarginPct,AR_Debit,Revenue_Credit,VATOutput_Credit,COGS_Debit,Inventory_Credit,AR_Account,Revenue_Account,VAT_Account,COGS_Account,Inventory_Account,ScenarioID,LegalEntityID,ScenarioCurrency,CurrencyScope,ReportingTimezone,EvidenceType,AuthenticSourcePath,AuthenticSourceSHA256,AuthenticSourceRowNumber,GenerationPolicyVersion
INV20260500012,JV20260500012,SO20260500012,2026-05-10,BD-TDM,NV012,Thẻ,FN-5AA0F8,Quạt,Senko,Cuckoo,1,1234869,0.07,1148428,0.08,91874,1240302,754000,754000,394428,0.3435,1240302,1148428,91874,754000,754000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,13,1.0.0
INV20260500013,JV20260500013,SO20260500013,2026-05-04,BD-TDM,NV003,Trả góp,TV-7BBB2A,TV,"TCL 50""",Aqua,2,31617296,0.03,61337554,0.08,4907004,66244558,26908000,53816000,7521554,0.1226,66244558,61337554,4907004,53816000,53816000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,14,1.0.0
INV20260500014,JV20260500014,SO20260500014,2026-05-28,BD-TDM,NV004,Chuyển khoản,BL-BF3F30,Máy xay,Panasonic Blender,Casper,2,2198391,0.09,4001071,0.08,320085,4321156,1406000,2812000,1189071,0.2972,4321156,4001071,320085,2812000,2812000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,15,1.0.0
INV20260500015,JV20260500015,SO20260500015,2026-05-23,HCM-Q7,NV008,Thẻ,RF-40AAB7,Tủ lạnh,Samsung Inverter 350L,Electrolux,1,13380978,0.08,12310499,0.08,984839,13295338,10104000,10104000,2206499,0.1792,13295338,12310499,984839,10104000,10104000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,16,1.0.0
INV20260500016,JV20260500016,SO20260500016,2026-05-17,HN-CG,NV013,Chuyển khoản,FN-985D6E,Quạt,Panasonic,Sharp,1,768819,0.04,738066,0.08,59045,797111,456000,456000,282066,0.3822,797111,738066,59045,456000,456000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,17,1.0.0
INV20260500017,JV20260500017,SO20260500017,2026-05-12,DN-HC,NV025,Chuyển khoản,MW-2896A4,Lò vi sóng,Sharp 20L,Panasonic,1,5169410,0.08,4755857,0.08,380468,5136325,3562000,3562000,1193857,0.251,5136325,4755857,380468,3562000,3562000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,18,1.0.0
INV20260500018,JV20260500018,SO20260500018,2026-05-16,HCM-Q7,NV019,Thẻ,VC-FDD792,Máy hút bụi,Philips FC,Casper,3,2848592,0.05,8118487,0.08,649478,8767965,1807000,5421000,2697487,0.3323,8767965,8118487,649478,5421000,5421000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,19,1.0.0
INV20260500019,JV20260500019,SO20260500019,2026-05-31,HCM-TB,NV024,Tiền mặt,VC-90DAA9,Máy hút bụi,Dyson V8,Casper,1,11108132,0.04,10663806,0.08,853104,11516910,8484000,8484000,2179806,0.2044,11516910,10663806,853104,8484000,8484000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,20,1.0.0
INV20260500020,JV20260500020,SO20260500020,2026-05-18,HCM-TB,NV006,Ví điện tử,VC-490623,Máy hút bụi,Philips FC,LG,3,8670682,0.08,23931082,0.08,1914486,25845568,5681000,17043000,6888082,0.2878,25845568,23931082,1914486,17043000,17043000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,21,1.0.0
INV20260500021,JV20260500021,SO20260500021,2026-05-18,HCM-Q1,NV016,Tiền mặt,AC-6A16AD,Máy lạnh,Daikin 1HP,Samsung,1,20332228,0.18,16672426,0.08,1333794,18006220,14656000,14656000,2016426,0.1209,18006220,16672426,1333794,14656000,14656000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,22,1.0.0
INV20260500022,JV20260500022,SO20260500022,2026-05-30,BD-TDM,NV011,Ví điện tử,RC-3972B5,Nồi cơm,Sharp 1.8L,Samsung,1,3487659,0.2,2790127,0.08,223210,3013337,2198000,2198000,592127,0.2122,3013337,2790127,223210,2198000,2198000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,23,1.0.0
INV20260500023,JV20260500023,SO20260500023,2026-05-01,DN-HC,NV003,Chuyển khoản,BL-2DE930,Máy xay,Sunhouse Blender,Toshiba,1,2368520,0.13,2060612,0.08,164848,2225460,1661000,1661000,399612,0.1939,2225460,2060612,164848,1661000,1661000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,24,1.0.0
INV20260500024,JV20260500024,SO20260500024,2026-05-09,CT-NK,NV002,Chuyển khoản,VC-DD459E,Máy hút bụi,Dyson V8,Asia,3,8804892,0.18,21660034,0.08,1732802,23392836,5768000,17304000,4356034,0.2011,23392836,21660034,1732802,17304000,17304000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,25,1.0.0
INV20260500025,JV20260500025,SO20260500025,2026-05-13,HCM-Q1,NV023,Trả góp,RC-19766E,Nồi cơm,Panasonic 1.8L,Sunhouse,1,2382345,0.12,2096463,0.08,167717,2264180,1545000,1545000,551463,0.263,2264180,2096463,167717,1545000,1545000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,26,1.0.0
INV20260500026,JV20260500026,SO20260500026,2026-05-12,HN-HBT,NV015,Trả góp,RF-4D4BA4,Tủ lạnh,Aqua 250L,Philips,3,7608539,0.04,21912592,0.08,1753007,23665599,5943000,17829000,4083592,0.1864,23665599,21912592,1753007,17829000,17829000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,27,1.0.0
INV20260500027,JV20260500027,SO20260500027,2026-05-22,BD-TDM,NV006,Ví điện tử,WM-6CA151,Máy giặt,LG 9kg,Philips,1,17884684,0.0,17884684,0.08,1430774,19315458,14832000,14832000,3052684,0.1707,19315458,17884684,1430774,14832000,14832000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,28,1.0.0
INV20260500028,JV20260500028,SO20260500028,2026-05-25,HN-HBT,NV026,Tiền mặt,KT-225744,Ấm siêu tốc,Philips,Xiaomi,2,877047,0.05,1666389,0.08,133311,1799700,609000,1218000,448389,0.2691,1799700,1666389,133311,1218000,1218000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,29,1.0.0
INV20260500029,JV20260500029,SO20260500029,2026-05-21,HCM-Q1,NV014,Ví điện tử,MW-807E15,Lò vi sóng,Panasonic 25L,Asia,3,4241223,0.13,11069592,0.08,885567,11955159,2942000,8826000,2243592,0.2027,11955159,11069592,885567,8826000,8826000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,30,1.0.0
INV20260500030,JV20260500030,SO20260500030,2026-05-08,HCM-Q7,NV025,Tiền mặt,WM-B05DAD,Máy giặt,LG 9kg,Sony,1,8419365,0.01,8335171,0.08,666813,9001984,6908000,6908000,1427171,0.1712,9001984,8335171,666813,6908000,6908000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,31,1.0.0
INV20260500031,JV20260500031,SO20260500031,2026-05-03,CT-NK,NV030,Trả góp,KT-A1D1DD,Ấm siêu tốc,Sunhouse,Senko,3,1266428,0.0,3799284,0.08,303942,4103226,676000,2028000,1771284,0.4662,4103226,3799284,303942,2028000,2028000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,32,1.0.0
INV20260500032,JV20260500032,SO20260500032,2026-05-19,HCM-TB,NV017,Trả góp,RC-08ECD3,Nồi cơm,Sunhouse 1.2L,Aqua,1,2471657,0.17,2051475,0.08,164118,2215593,1772000,1772000,279475,0.1362,2215593,2051475,164118,1772000,1772000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,33,1.0.0
INV20260500033,JV20260500033,SO20260500033,2026-05-18,HCM-Q1,NV023,Thẻ,RF-FBF6F9,Tủ lạnh,Panasonic 300L,Cuckoo,3,10443730,0.19,25378263,0.08,2030261,27408524,8956000,26868000,-1489737,-0.0587,27408524,25378263,2030261,26868000,26868000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,34,1.0.0
INV20260500034,JV20260500034,SO20260500034,2026-05-25,HCM-TB,NV020,Thẻ,RC-3C975D,Nồi cơm,Panasonic 1.8L,Samsung,2,703629,0.11,1252459,0.08,100196,1352655,463000,926000,326459,0.2607,1352655,1252459,100196,926000,926000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,35,1.0.0
INV20260500035,JV20260500035,SO20260500035,2026-05-28,CT-NK,NV020,Chuyển khoản,TV-693149,TV,"Samsung 55"" 4K",Aqua,2,17035676,0.15,28960649,0.08,2316851,31277500,13514000,27028000,1932649,0.0667,31277500,28960649,2316851,27028000,27028000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,36,1.0.0
INV20260500036,JV20260500036,SO20260500036,2026-05-14,BD-TDM,NV012,Chuyển khoản,VC-B567E6,Máy hút bụi,Philips FC,Cuckoo,1,2376389,0.1,2138750,0.08,171100,2309850,1526000,1526000,612750,0.2865,2309850,2138750,171100,1526000,1526000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,37,1.0.0
